row_id,grammar,lats,K,N,pd,true_pct,src,verbatim,span,N,K,log2K,pd,m_s,fresh,mean_lag,std_lag,max_lag,min_lag,r,m
0,out5_1,"[0, 0, 0, 0, 0, 30]",1,6,3,53.2,spin9-output.txt;spin5-output.txt,"24/144 |    out5_1 | [0, 0, 0, 0, 0, 30] |         1 |       530 |       554 |       510 |       544 |       521 |      53.2 |     16157 |    434533",30,6,1,0.0,3,0.166667,5,5.0,11.18034,30,0,2.0,0.857143
1,out5_1,"[0, 0, 0, 0, 0, 30]",2,6,3,47.4,spin9-output.txt;spin5-output.txt,"24/144 |    out5_1 | [0, 0, 0, 0, 0, 30] |         2 |       497 |       495 |       458 |       414 |       505 |      47.4 |     17232 |    634090",30,6,2,1.0,3,0.166667,5,5.0,11.18034,30,0,2.0,0.857143
2,out5_1,"[0, 0, 0, 0, 0, 30]",4,6,3,66.6,spin9-output.txt,"24/144 |    out5_1 | [0, 0, 0, 0, 0, 30] |         4 |       659 |       666 |       666 |       667 |       672 |      66.6 |     13623 |    352397",30,6,4,2.0,3,0.166667,5,5.0,11.18034,30,0,2.0,0.857143
3,out5_1,"[0, 0, 0, 0, 0, 30]",8,6,3,67.3,spin9-output.txt,"24/144 |    out5_1 | [0, 0, 0, 0, 0, 30] |         8 |       666 |       676 |       673 |       678 |       670 |      67.3 |     13374 |    351848",30,6,8,3.0,3,0.166667,5,5.0,11.18034,30,0,2.0,0.857143
4,m6,"[0, 0, 0, 0, 6, 30]",1,6,3,53.9,spin9-output.txt,"24/144 |        m6 | [0, 0, 0, 0, 6, 30] |         1 |       546 |       543 |       526 |       550 |       532 |      53.9 |     15132 |    385277",30,6,1,0.0,3,0.166667,5,6.0,10.954451,30,0,2.0,0.857143
5,m6,"[0, 0, 0, 0, 6, 30]",2,6,3,50.8,spin9-output.txt,"24/144 |        m6 | [0, 0, 0, 0, 6, 30] |         2 |       547 |       493 |       519 |       469 |       514 |      50.8 |     16425 |    559298",30,6,2,1.0,3,0.166667,5,6.0,10.954451,30,0,2.0,0.857143
6,m6,"[0, 0, 0, 0, 6, 30]",4,6,3,64.5,spin9-output.txt,"24/144 |        m6 | [0, 0, 0, 0, 6, 30] |         4 |       637 |       642 |       650 |       653 |       642 |      64.5 |     13588 |    334714",30,6,4,2.0,3,0.166667,5,6.0,10.954451,30,0,2.0,0.857143
7,m6,"[0, 0, 0, 0, 6, 30]",8,6,3,66.6,spin9-output.txt,"24/144 |        m6 | [0, 0, 0, 0, 6, 30] |         8 |       658 |       670 |       667 |       673 |       662 |      66.6 |     13211 |    331136",30,6,8,3.0,3,0.166667,5,6.0,10.954451,30,0,2.0,0.857143
8,asy3,"[0, 0, 0, 0, 3, 30]",1,6,3,55.7,spin9-output.txt,"24/144 |      asy3 | [0, 0, 0, 0, 3, 30] |         1 |       564 |       562 |       554 |       554 |       552 |      55.7 |     15326 |    388305",30,6,1,0.0,3,0.166667,5,5.5,11.011358,30,0,2.0,0.857143
9,asy3,"[0, 0, 0, 0, 3, 30]",2,6,3,49.8,spin9-output.txt,"24/144 |      asy3 | [0, 0, 0, 0, 3, 30] |         2 |       514 |       510 |       486 |       493 |       488 |      49.8 |     16594 |    573885",30,6,2,1.0,3,0.166667,5,5.5,11.011358,30,0,2.0,0.857143
10,asy3,"[0, 0, 0, 0, 3, 30]",4,6,3,65.2,spin9-output.txt,"24/144 |      asy3 | [0, 0, 0, 0, 3, 30] |         4 |       651 |       649 |       655 |       657 |       648 |      65.2 |     13545 |    341089",30,6,4,2.0,3,0.166667,5,5.5,11.011358,30,0,2.0,0.857143
11,asy3,"[0, 0, 0, 0, 3, 30]",8,6,3,67.1,spin9-output.txt,"24/144 |      asy3 | [0, 0, 0, 0, 3, 30] |         8 |       678 |       673 |       660 |       671 |       671 |      67.1 |     13249 |    338727",30,6,8,3.0,3,0.166667,5,5.5,11.011358,30,0,2.0,0.857143
12,m10,"[0, 0, 0, 0, 10, 30]",1,6,3,53.6,spin9-output.txt,"28/144 |       m10 | [0, 0, 0, 0, 10, 30] |         1 |       532 |       536 |       537 |       542 |       535 |      53.6 |     15159 |    388179",30,6,1,0.0,3,0.194444,4,6.666667,11.055416,30,0,2.0,0.857143
13,m10,"[0, 0, 0, 0, 10, 30]",2,6,3,51.9,spin9-output.txt,"28/144 |       m10 | [0, 0, 0, 0, 10, 30] |         2 |       541 |       517 |       531 |       496 |       508 |      51.9 |     16541 |    530334",30,6,2,1.0,3,0.194444,4,6.666667,11.055416,30,0,2.0,0.857143
14,m10,"[0, 0, 0, 0, 10, 30]",4,6,3,62.4,spin9-output.txt,"28/144 |       m10 | [0, 0, 0, 0, 10, 30] |         4 |       627 |       622 |       620 |       630 |       622 |      62.4 |     14180 |    341180",30,6,4,2.0,3,0.194444,4,6.666667,11.055416,30,0,2.0,0.857143
15,m10,"[0, 0, 0, 0, 10, 30]",8,6,3,65.3,spin9-output.txt,"28/144 |       m10 | [0, 0, 0, 0, 10, 30] |         8 |       647 |       646 |       653 |       661 |       660 |      65.3 |     13687 |    336202",30,6,8,3.0,3,0.194444,4,6.666667,11.055416,30,0,2.0,0.857143
16,d10,"[0, 0, 0, 10, 10, 30]",1,6,3,57.6,spin9-output.txt,"32/144 |       d10 | [0, 0, 0, 10, 10, 30] |         1 |       574 |       576 |       579 |       580 |       569 |      57.6 |     14078 |    345477",30,6,1,0.0,3,0.222222,3,8.333333,10.671874,30,0,2.0,0.857143
