family	device	NCELL	LUT4	FF	packed/cap	util%	util12f%	fmax_MHz	closes_12MHz
ecp5	12f	2	4732	2430	5886/24288	24%	48%	66.2	PASS
ecp5	12f	4	9282	4698	11554/24288	48%	95%	62.9	PASS
ecp5	12f	6	13851	6966	17245/24288	71%	142%	63.0	PASS
ecp5	12f	8	18299	9234	22791/24288	94%	188%	63.7	PASS
ecp5	12f	12	27314	13770	~34080est/24288	-	-	-	PNR_FAIL
ecp5	25f	4	9282	4698	11554/24288	48%	-	62.9	PASS
ecp5	25f	8	18299	9234	22791/24288	94%	-	63.7	PASS
ecp5	25f	12	27314	13770	~34080est/24288	-	-	-	PNR_FAIL
ecp5	25f	16	36269	18306	~45273est/24288	-	-	-	PNR_FAIL
ice40	up5k	1	3127	1296	~3958est/5280	-	-	-	PNR_FAIL
ice40	up5k	2	5951	2430	~7528est/5280	-	-	-	PNR_FAIL
ice40	up5k	4	11650	4698	~14732est/5280	-	-	-	PNR_FAIL
